number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
893,0.975403,0.024597,19.975114,0.000183,0.975408
894,0.975584,0.024416,19.975299,0.000181,0.975589
895,0.975764,0.024236,19.975484,0.00018,0.975769
896,0.975943,0.024057,19.975667,0.000179,0.975948
897,0.976121,0.023879,19.975848,0.000177,0.976125
898,0.976297,0.023703,19.976029,0.000176,0.976301
899,0.976472,0.023528,19.976207,0.000175,0.976476
900,0.976645,0.023355,19.976385,0.000174,0.97665
901,0.976818,0.023182,19.976561,0.000172,0.976822
902,0.976989,0.023011,19.976736,0.000171,0.976993
903,0.977159,0.022841,19.97691,0.00017,0.977163
904,0.977327,0.022673,19.977082,0.000169,0.977332
905,0.977495,0.022505,19.977253,0.000167,0.977499
906,0.977661,0.022339,19.977423,0.000166,0.977665
907,0.977826,0.022174,19.977591,0.000165,0.97783
908,0.97799,0.02201,19.977759,0.000164,0.977994
909,0.978152,0.021848,19.977925,0.000163,0.978157
910,0.978314,0.021686,19.978089,0.000161,0.978318
911,0.978474,0.021526,19.978253,0.00016,0.978478
912,0.978633,0.021367,19.978415,0.000159,0.978637
913,0.978791,0.021209,19.978576,0.000158,0.978795
914,0.978947,0.021053,19.978736,0.000157,0.978952
915,0.979103,0.020897,19.978895,0.000156,0.979108
916,0.979257,0.020743,19.979052,0.000154,0.979262
917,0.979411,0.020589,19.979209,0.000153,0.979415
918,0.979563,0.020437,19.979364,0.000152,0.979567
919,0.979714,0.020286,19.979518,0.000151,0.979718
920,0.979864,0.020136,19.979671,0.00015,0.979868
921,0.980013,0.019987,19.979822,0.000149,0.980017
922,0.98016,0.01984,19.979973,0.000148,0.980165
923,0.980307,0.019693,19.980122,0.000147,0.980312
924,0.980453,0.019547,19.980271,0.000146,0.980458
925,0.980597,0.019403,19.980418,0.000145,0.980603
926,0.980741,0.019259,19.980564,0.000143,0.980746
927,0.980883,0.019117,19.980709,0.000142,0.980888
928,0.981024,0.018976,19.980853,0.000141,0.981029
929,0.981165,0.018835,19.980996,0.00014,0.981169
930,0.981304,0.018696,19.981138,0.000139,0.981308
931,0.981442,0.018558,19.981279,0.000138,0.981446
932,0.98158,0.01842,19.981418,0.000137,0.981583
933,0.981716,0.018284,19.981557,0.000136,0.981719
934,0.981851,0.018149,19.981695,0.000135,0.981854
935,0.981985,0.018015,19.981831,0.000134,0.981988
936,0.982119,0.017881,19.981967,0.000133,0.982121
937,0.982251,0.017749,19.982101,0.000132,0.982253
938,0.982382,0.017618,19.982235,0.000131,0.982384
939,0.982513,0.017487,19.982367,0.00013,0.982514
940,0.982642,0.017358,19.982499,0.000129,0.982643
941,0.982771,0.017229,19.98263,0.000128,0.982771
942,0.982898,0.017102,19.982759,0.000128,0.982899
943,0.983025,0.016975,19.982888,0.000127,0.983026
944,0.983151,0.016849,19.983016,0.000126,0.983152
945,0.983275,0.016725,19.983142,0.000125,0.983277
946,0.983399,0.016601,19.983268,0.000124,0.983401
947,0.983522,0.016478,19.983393,0.000123,0.983524
948,0.983644,0.016356,19.983517,0.000122,0.983646
949,0.983765,0.016235,19.98364,0.000121,0.983767
950,0.983885,0.016115,19.983762,0.00012,0.983887
951,0.984005,0.015995,19.983883,0.000119,0.984006
952,0.984123,0.015877,19.984004,0.000118,0.984124
953,0.984241,0.015759,19.984123,0.000118,0.984242
954,0.984358,0.015642,19.984241,0.000117,0.984359
955,0.984473,0.015527,19.984359,0.000116,0.984475
956,0.984588,0.015412,19.984476,0.000115,0.98459
957,0.984703,0.015297,19.984592,0.000114,0.984704
958,0.984816,0.015184,19.984707,0.000113,0.984817
959,0.984928,0.015072,19.984821,0.000113,0.98493
960,0.98504,0.01496,19.984934,0.000112,0.985042
