number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
1271,0.952043,0.047957,669.950874,0.000352,0.952043
1272,0.952392,0.047608,669.951241,0.000349,0.952392
1273,0.952739,0.047261,669.951604,0.000347,0.952739
1274,0.953084,0.046916,669.951966,0.000344,0.953083
1275,0.953426,0.046574,669.952324,0.000342,0.953425
1276,0.953765,0.046235,669.95268,0.00034,0.953765
1277,0.954102,0.045898,669.953033,0.000337,0.954102
1278,0.954437,0.045563,669.953384,0.000335,0.954437
1279,0.954769,0.045231,669.953731,0.000332,0.954769
1280,0.955099,0.044901,669.954077,0.00033,0.955099
1281,0.955427,0.044573,669.954419,0.000328,0.955427
1282,0.955752,0.044248,669.95476,0.000325,0.955752
1283,0.956075,0.043925,669.955097,0.000323,0.956075
1284,0.956396,0.043604,669.955432,0.000321,0.956396
1285,0.956714,0.043286,669.955765,0.000318,0.956714
1286,0.95703,0.04297,669.956095,0.000316,0.95703
1287,0.957344,0.042656,669.956423,0.000314,0.957344
1288,0.957656,0.042344,669.956748,0.000312,0.957656
1289,0.957965,0.042035,669.957071,0.000309,0.957965
1290,0.958272,0.041728,669.957391,0.000307,0.958272
1291,0.958577,0.041423,669.957709,0.000305,0.958577
1292,0.95888,0.04112,669.958025,0.000303,0.95888
1293,0.95918,0.04082,669.958338,0.000301,0.959181
1294,0.959479,0.040521,669.958649,0.000298,0.959479
1295,0.959775,0.040225,669.958957,0.000296,0.959775
1296,0.960069,0.039931,669.959264,0.000294,0.960069
1297,0.960362,0.039638,669.959568,0.000292,0.960361
1298,0.960652,0.039348,669.959869,0.00029,0.960651
1299,0.960939,0.039061,669.960169,0.000288,0.960939
1300,0.961225,0.038775,669.960466,0.000286,0.961225
1301,0.961509,0.038491,669.960761,0.000284,0.961509
1302,0.961791,0.038209,669.961054,0.000282,0.961791
1303,0.962071,0.037929,669.961345,0.00028,0.962071
1304,0.962348,0.037652,669.961633,0.000278,0.962349
1305,0.962624,0.037376,669.961919,0.000276,0.962625
1306,0.962898,0.037102,669.962204,0.000274,0.962899
1307,0.96317,0.03683,669.962486,0.000272,0.963171
1308,0.963439,0.036561,669.962766,0.00027,0.963441
1309,0.963707,0.036293,669.963043,0.000268,0.963709
1310,0.963973,0.036027,669.963319,0.000266,0.963975
1311,0.964237,0.035763,669.963593,0.000264,0.964239
1312,0.9645,0.0355,669.963865,0.000262,0.964501
1313,0.96476,0.03524,669.964134,0.00026,0.964761
1314,0.965018,0.034982,669.964402,0.000258,0.965019
1315,0.965275,0.034725,669.964668,0.000257,0.965276
1316,0.965529,0.034471,669.964931,0.000255,0.965531
1317,0.965782,0.034218,669.965193,0.000253,0.965784
1318,0.966033,0.033967,669.965453,0.000251,0.966035
1319,0.966283,0.033717,669.965711,0.000249,0.966284
1320,0.96653,0.03347,669.965966,0.000247,0.966531
1321,0.966776,0.033224,669.96622,0.000246,0.966777
1322,0.96702,0.03298,669.966473,0.000244,0.967021
1323,0.967262,0.032738,669.966723,0.000242,0.967263
1324,0.967502,0.032498,669.966971,0.00024,0.967503
1325,0.967741,0.032259,669.967218,0.000239,0.967742
1326,0.967978,0.032022,669.967462,0.000237,0.967979
1327,0.968213,0.031787,669.967705,0.000235,0.968214
1328,0.968446,0.031554,669.967946,0.000233,0.968447
1329,0.968678,0.031322,669.968185,0.000232,0.968679
1330,0.968908,0.031092,669.968423,0.00023,0.968909
1331,0.969137,0.030863,669.968658,0.000228,0.969137
1332,0.969363,0.030637,669.968892,0.000227,0.969364
1333,0.969589,0.030411,669.969124,0.000225,0.969589
1334,0.969812,0.030188,669.969355,0.000224,0.969813
1335,0.970034,0.029966,669.969583,0.000222,0.970035
1336,0.970254,0.029746,669.96981,0.00022,0.970255
1337,0.970473,0.029527,669.970036,0.000219,0.970474
1338,0.97069,0.02931,669.970259,0.000217,0.970691
1339,0.970906,0.029094,669.970481,0.000216,0.970907
1340,0.97112,0.02888,669.970702,0.000214,0.971121
1341,0.971332,0.028668,669.97092,0.000212,0.971333
1342,0.971543,0.028457,669.971137,0.000211,0.971544
1343,0.971753,0.028247,669.971353,0.000209,0.971753
1344,0.97196,0.02804,669.971566,0.000208,0.971961
1345,0.972167,0.027833,669.971779,0.000206,0.972167
1346,0.972372,0.027628,669.971989,0.000205,0.972372
1347,0.972575,0.027425,669.972198,0.000203,0.972575
1348,0.972777,0.027223,669.972406,0.000202,0.972777
1349,0.972977,0.027023,669.972612,0.0002,0.972977
1350,0.973176,0.026824,669.972816,0.000199,0.973176
1351,0.973374,0.026626,669.973019,0.000198,0.973374
1352,0.97357,0.02643,669.97322,0.000196,0.97357
1353,0.973765,0.026235,669.97342,0.000195,0.973765
1354,0.973958,0.026042,669.973618,0.000193,0.973958
